Date,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199202,4.4431,3.1462,1.9981,2.6649,1.3133,0.6052
199203,-1.7411,-1.2931,-4.7424,-1.8244,-1.8453,-2.4639
199204,-2.6404,-1.4817,-5.1158,2.7464,4.0828,0.4122
199205,1.2866,1.2739,-0.1623,0.3573,0.5345,0.8349
199206,-4.6399,-2.5689,-5.4118,-1.3391,-0.9671,-2.4573
199207,2.2650,3.5359,3.0357,3.3280,4.0438,4.4944
199208,-4.6408,-2.0424,-2.8951,-3.4578,-1.7907,-1.9155
199209,1.3978,1.5464,1.9201,1.1851,0.8681,2.0159
199210,2.6545,2.5979,3.7786,1.9346,-0.6570,2.6224
199211,7.4483,6.9681,8.9225,3.4113,2.8157,5.0949
199212,4.5076,3.6285,2.6304,1.5790,1.3645,1.8055
199301,5.1510,3.6359,2.2974,3.1256,0.7530,0.1045
199302,-0.8321,-0.0054,-4.6555,2.7966,2.4178,-1.6772
199303,2.8869,3.2480,2.1004,2.9972,2.6458,2.1351
199304,-2.9419,-3.1115,-2.8367,-1.3924,-1.8650,-4.2499
199305,4.9975,2.8137,6.0642,2.8948,2.0370,3.8920
199306,1.5605,1.4132,0.1104,0.5231,1.0091,-0.3534
199307,1.8731,1.7179,0.1061,0.4824,0.5004,-1.8564
199308,4.3494,3.4941,4.4657,4.1564,3.6411,3.9682
199309,2.5019,2.0636,3.3314,0.4455,-0.8937,0.0015
199310,3.8316,2.2907,3.1302,1.7903,1.4757,1.3668
199311,-3.2003,-2.8813,-2.8866,-1.9533,-1.7687,-0.2010
199312,2.8437,3.2172,3.3149,1.4434,1.9521,1.6629
199401,4.3341,2.2728,2.8413,4.1910,2.7332,2.9119
199402,-0.1712,-0.4057,-0.1534,-3.3085,-3.0907,-1.4533
199403,-4.5496,-4.2849,-6.6082,-4.0502,-4.0381,-4.7704
199404,0.2016,0.6160,-0.4768,1.9473,1.3729,0.3392
199405,-1.0792,-0.7448,-2.0119,1.8775,0.8193,1.6145
199406,-2.2535,-1.9928,-4.7026,-2.9081,-1.6912,-3.4665
199407,2.0241,1.7070,1.4779,3.4353,2.9413,3.7830
199408,5.1861,4.3447,7.0403,4.0394,3.6307,5.2246
199409,0.7767,0.0996,-0.2094,-2.0343,-1.7396,-3.1607
199410,-0.3939,-0.1917,0.0755,1.5683,1.9085,2.5658
199411,-3.8100,-3.6346,-3.6519,-4.4602,-3.0708,-3.5558
199412,1.3931,1.9162,0.7778,1.2950,1.4974,1.1867
199501,-0.2965,-0.3430,-0.5891,1.4988,2.7396,3.0877
199502,2.8783,3.6249,4.2048,4.8186,3.6164,4.2897
199503,1.7153,1.2883,2.9538,4.1708,2.1247,2.4771
199504,2.7264,2.9590,1.8416,2.9532,2.8423,2.1942
199505,1.8839,1.8387,1.2574,3.5258,3.5848,4.1353
199506,6.0282,3.8145,6.5667,0.8588,1.8874,5.0931
199507,5.9615,4.5214,7.1740,3.3472,3.0127,5.2866
199508,4.3071,2.8265,1.8249,1.2112,0.6757,0.7075
199509,2.5504,2.0287,1.6398,3.8760,4.2637,3.9956
199510,-5.6963,-3.9691,-5.6694,-0.8599,-0.2136,-0.6847
